max_power,engine,mileage,selling_price
120.0,2179.0,14.0,12.429216196844383
67.1,998.0,18.9,11.407564949312402
73.9,1248.0,19.3,12.611537753638338
74.0,1248.0,23.4,13.017002861746503
121.3,1591.0,15.29,13.710150042306449
97.7,1498.0,16.95,12.765688433465597
98.6,1498.0,27.3,12.959844447906553
108.495,1498.0,22.0,13.38472764187182
75.0,2523.0,14.0,12.86099861326992
67.0,1198.0,20.63,12.721885810807203
102.0,2494.0,12.8,13.38472764187182
88.5,1248.0,26.21,13.235692062711331
190.0,1995.0,16.78,15.501909511534503
100.6,2494.0,12.99,13.864300722133706
81.83,1197.0,18.6,12.983099011217604
67.0,1061.0,18.9,11.695247021764184
140.0,2179.0,16.0,13.952660396111508
82.4,1248.0,19.41689295516926,12.89921982609012
103.6,1598.0,15.04,13.190022025878143
118.0,1497.0,17.0,13.122363377404328
53.64,799.0,22.7,12.287652632522597
88.76,1248.0,20.77,13.270783382522602
88.7,1199.0,18.2,13.217673557208654
75.0,2523.0,15.4,13.710150042306449
82.4,1248.0,19.41689295516926,12.771386454580234
100.6,2494.0,12.99,13.527828485512494
78.9,1197.0,20.36,12.542544882151386
190.0,1969.0,18.0,15.150511624696614
72.0,999.0,20.0,13.422467969854667
88.76,1248.0,20.77,13.255144488638146
187.4,2354.0,12.0,14.375126345899696
74.02,1248.0,28.4,13.592367006650065
62.1,2523.0,15.96,13.345506928718539
52.0,1995.0,12.8,11.502875129116727
88.7,1199.0,17.5,13.458835614025542
71.0,999.0,20.0,13.574712071411344
60.0,993.0,17.3,11.918390573078392
81.8,1197.0,22.0,13.458835614025542
67.0,999.0,22.5,12.388394202324129
67.04,998.0,20.51,12.706847933442663
102.5,1598.0,12.9,12.323855681186558
74.02,1248.0,28.4,13.493926933836812
170.0,2148.0,15.8,14.115615150414612
68.1,1399.0,20.0,12.429216196844383
258.0,2993.0,14.49,14.508657738524219
75.0,2523.0,15.4,13.38472764187182
102.0,2494.0,12.8,13.122363377404328
88.7,1199.0,18.2,13.217673557208654
88.5,1248.0,26.21,13.500799813124575
71.0,1120.0,24.4,13.142164043914272
67.0,1198.0,20.63,12.323855681186558
73.0,1196.0,15.37,12.89921982609012
140.0,2179.0,15.1,13.764217263576723
86.8,1198.0,19.4,12.779873068457553
73.97,1186.0,24.0,13.017002861746503
67.0,1198.0,20.63,12.971540487669746
177.0,1999.0,13.6,14.812828128480803
63.0,2523.0,13.6,12.821258284620408
55.2,814.0,21.1,12.180754837545884
62.0,995.0,18.0,11.884489021402711
73.9,1248.0,19.3,12.834681304952548
102.0,2494.0,12.8,13.017002861746503
81.8,1197.0,22.0,13.345506928718539
147.5,1797.0,16.3,13.217673557208654
103.2,1462.0,19.01,13.854731271117556
74.0,1248.0,22.9,13.142164043914272
88.76,1396.0,24.0,13.77468856344402
84.0,1199.0,23.84,13.017002861746503
88.73,1396.0,22.54,13.458835614025542
181.04,1991.0,14.74,14.808762330974558
103.6,1598.0,20.54,12.821258284620408
91.7,1248.0,20.4,12.154779351142624
73.94,1248.0,23.2,12.676076274775909
53.0,796.0,18.5,11.512925464970229
35.0,796.0,19.7,11.512925464970229
78.9,1197.0,20.36,12.388394202324129
88.7,1199.0,18.2,13.217673557208654
68.0,1399.0,17.7,11.407564949312402
93.7,1373.0,16.02,13.321214236149494
76.9,1248.0,22.1,12.611537753638338
81.83,1197.0,18.6,12.971540487669746
98.6,1498.0,24.5,13.815510557964274
82.85,1197.0,18.5,12.676076274775909
116.3,1497.0,16.8,13.199324418540456
102.0,2494.0,12.8,12.886641043883259
57.6,936.0,25.44,11.918390573078392
69.0,1396.0,25.0,12.611537753638338
78.9,1197.0,20.36,12.691580461311874
82.4,1248.0,19.41689295516926,11.918390573078392
73.94,1248.0,23.2,12.821258284620408
82.0,1197.0,18.9,13.049792684569493
82.4,1248.0,19.41689295516926,12.0015054797889
57.6,936.0,25.44,11.84939770159144
34.2,796.0,16.8,12.468436909997665
163.7,1998.0,17.3,13.217673557208654
88.5,1248.0,28.09,13.38472764187182
72.4,2499.0,13.58,13.337474757021274
68.0,1399.0,20.0,12.072541252905651
98.59,1498.0,22.77,13.764217263576723
141.0,2499.0,13.1,12.89921982609012
74.02,1248.0,28.4,13.623138665316818
85.8,1197.0,18.6,12.706847933442663
198.25,2359.0,13.44,13.17115354157376
81.8,1197.0,21.21,13.58609739363647
88.7,1193.0,17.57,13.038979594549872
68.05,1086.0,19.81,11.982929094215963
120.0,2179.0,12.05,12.909170156943286
100.0,1493.0,18.49,13.527828485512494
37.0,796.0,16.1,10.819778284410283
81.8,1197.0,21.21,13.353475098367715
74.0,1248.0,22.9,12.779873068457553
83.1,1197.0,21.4,13.38472764187182
88.76,1199.0,19.0,13.565766324852886
103.6,1598.0,20.54,12.721885810807203
66.0,1896.0,18.7,11.608235644774552
78.0,1497.0,17.7,12.043553716032399
108.5,1198.0,17.0,13.193753373491
70.0,1405.0,17.0,11.350406535472453
108.5,1198.0,17.0,13.296316684527767
86.8,1196.0,18.16,13.287877815881902
140.0,2179.0,16.0,14.077874822431765
177.0,1999.0,19.33,14.978661367769956
118.0,1497.0,17.0,12.644327576461329
88.73,1396.0,22.54,13.493926933836812
110.0,1197.0,17.0,13.939496537745265
68.05,1086.0,19.81,11.813030057420567
73.9,1198.0,16.47,12.577636201962656
85.8,1298.0,17.5,12.154779351142624
78.9,1197.0,20.36,12.206072645530174
88.76,1396.0,21.9,12.84792653170257
110.4,1499.0,16.05,13.42984807715229
103.2,1599.0,13.9,11.982929094215963
170.0,2143.0,17.9,15.341566861459324
67.05,998.0,23.95,12.611537753638338
82.4,1248.0,19.41689295516926,13.270783382522602
69.01,1396.0,25.0,12.337096521962048
120.0,2179.0,10.5,11.695247021764184
70.0,1120.0,24.0,13.081541382884074
62.1,1086.0,17.92,12.254862809699606
138.1,2179.0,11.57,12.429216196844383
138.1,2179.0,11.57,11.918390573078392
214.56,2487.0,22.37,15.454507272639919
55.2,814.0,21.1,12.2783933071098
74.0,1248.0,22.9,12.821258284620408
140.0,2179.0,15.1,13.652991628466498
91.7,1248.0,20.5,12.793859310432293
62.1,2523.0,15.96,13.217673557208654
55.2,814.0,21.1,12.345830240069793
138.1,2179.0,11.57,12.611537753638338
67.0,1198.0,20.63,12.765688433465597
73.97,1186.0,24.0,13.017002861746503
73.9,1248.0,21.1,12.230760380059866
98.6,1498.0,27.3,13.122363377404328
147.9,1999.0,12.4,14.457364444136669
117.3,1497.0,17.8,13.38472764187182
55.2,814.0,21.1,12.429216196844383
81.8,1197.0,20.52,13.005829561148378
81.8,1197.0,22.0,13.304684934198283
214.56,2487.0,22.37,15.454507272639919
67.0,1061.0,18.9,11.918390573078392
82.0,1197.0,18.9,13.345506928718539
170.0,1956.0,17.1,14.316285845876763
82.4,1248.0,19.41689295516926,12.676076274775909
62.1,995.0,16.2,11.77528972943772
190.0,1969.0,18.0,15.03928598958639
68.05,1086.0,19.81,11.813030057420567
67.1,998.0,18.9,11.918390573078392
